"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.371135941663709,0.392622278325129,0.373930892969333,0.363332528949083,500
"standard deviation",0.0827304355543289,0.0779537805075877,0.0815040315063229,0.0861537399055853,500
"root MSE",0.380243137080242,0.400284686160064,0.382708624526801,0.373405287856071,500
"coverage probability",0.0012,0,4e-04,0.0064,500
"bias",0.239484361093721,0.242484613966877,0.240343570479882,0.230336100896654,1000
"standard deviation",0.0485975768749232,0.044573525438841,0.048274172225186,0.0531397931532721,1000
"root MSE",0.244364505077325,0.246546526685894,0.245142736983791,0.2363852622841,1000
"coverage probability",4e-04,0,0,0.0092,1000
"bias",0.174358288261701,0.181617634599574,0.174619737375097,0.164689715430046,2000
"standard deviation",0.0307549668542998,0.0295855573711635,0.0306778451981966,0.0338164234814622,2000
"root MSE",0.177049404116936,0.184011128308767,0.177293526787966,0.16812502536924,2000
"coverage probability",0,0,0,0.0074,2000
"bias",0.145663744511319,0.151650382707246,0.145778012921129,0.137207621510258,3000
"standard deviation",0.023004367723486,0.0225029297133644,0.0229794273021409,0.0261337743175936,3000
"root MSE",0.147468713831882,0.153310531747071,0.147577699939901,0.139673794842673,3000
"coverage probability",0,0,0,0.005,3000
"bias",0.128674873392772,0.133250607857499,0.128741402868382,0.121198497527605,4000
"standard deviation",0.0191263449907253,0.0189389751526547,0.0191174893203192,0.0212516848363867,4000
"root MSE",0.130088304439467,0.134589514960378,0.130152810629475,0.12304722501752,4000
"coverage probability",0,0,0,0.0038,4000
"bias",0.118495334116488,0.121773609129656,0.118528912516704,0.11159214326479,5000
"standard deviation",0.0163462486228663,0.0162550419462168,0.0163414136981181,0.0182460535183751,5000
"root MSE",0.119617267196045,0.122853512053412,0.119649870437394,0.113073685372552,5000
"coverage probability",0,0,0,6e-04,5000
